identifier,digital resource locator,contributing repository,title,date created (W3CDTF),"date created (human readable, for approximate dates)",creator,rights,language,subject,type,extent,spatial,description,publisher,contributor,isPartOf,full text available (y/n)?,description link
MSS0477_F011_001,http://udspace.udel.edu/handle/19716/24304,University of Delaware. Library.,"""Elizabeth Cady Stanton on Socialism""",1869-1955,undated,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Women and Socialism--Periodicals,text,,,"Single page from a publication advertising the magazine The Socialist Woman and including the first part of the article ""Elizabeth Cady Stanton on Socialism.""","Girard, Kansas: The Socialist Woman",,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F012_001,http://udspace.udel.edu/handle/19716/24305,University of Delaware. Library.,"""Instructions to Workers for the Woman Suffrage Petition to Congress""",1907-1917,approximately 1912,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,"Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Catt, Carrie Chapman, 1859-1947 | Women employees | Handbills",text,,,Instructs that completed petitions be sent to Carrie Chapman Catt.,,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F013_001,http://udspace.udel.edu/handle/19716/24306,University of Delaware. Library.,Ballot for the Pennsylvania Limited Equal Suffrage League,1914,,Pennsylvania Limited Equal Suffrage League,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Pennsylvania Limited Equal Suffrage League | Ballots,text,,,"Announces an annual election of officers at the Merion Cricket Club, Haverford, Pa. on June 2, 1914.",,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F014_001,http://udspace.udel.edu/handle/19716/24307,University of Delaware. Library.,"Program of the 19th Assembly District of the Woman Suffrage Party for April and May, 1911",1911,,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Handbills,text,,,"Handbill listing events such as speeches by Charlotte Perkins Gilman and Fanny Garrison Villard, a parade, pageant, and benefit concerts.",,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F017_001,http://udspace.udel.edu/handle/19716/24308,University of Delaware. Library.,"Set of ten postcards ""Endorsed and Approved by the National American Woman Suffrage Association"" under the heading ""Think it over … An ounce of Persuasion proceeds a pound of coercion"" ",1910,,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | National American Woman Suffrage Association | Postcards,image,,,Each postcard has a different quote printed on it.,"The Cargill Company, Grand Rapids, Michigan",,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F018_001,http://udspace.udel.edu/handle/19716/24309,University of Delaware. Library.,"Handbill with the quote ""Votes for women: Woman needs the ballot; but more than that, the time has now come when the ballot needs the woman. - Clifford Howard""",1869-1955,undated,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,"Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Howard, Clifford, 1868-1942 | ",image,,,American flags frame the text.,,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F019_001,http://udspace.udel.edu/handle/19716/24310,University of Delaware. Library.,"Pledge Form: ""I Am Opposed to Woman's Suffrage""",1869-1955,undated,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Pledges,text,,,Signed by Mrs. Mary L. Watts.,,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F020_001,http://udspace.udel.edu/handle/19716/24311,University of Delaware. Library.,Paper cup,1869-1955,undated,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Empire State Campaign Committee | Printed ephemera,physical object,,,"""Votes for Women"" and ""Drink to the Success of the Empire State Campaign, Headquarters 303 5th Ave., New York.""",,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F021_001,http://udspace.udel.edu/handle/19716/24312,University of Delaware. Library.,Invoice,1915-09-22,,Pennsylvania Woman Suffrage Association,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Pennsylvania Woman Suffrage Association | Invoices,text,,,"Addressed to Mrs. R. B. Thompson, Millerstown, Perry County Pa for 500 ""Liberty Bell Fliers"", 100 ""Suffrage maps"", 100 ""Women on the farm"", and 2 pompons with a note that two pennants will also be sent.",,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F015_001,http://udspace.udel.edu/handle/19716/24342,University of Delaware. Library.,"""Votes for women / I want to speak for myself""",1915,,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Postcards,image,,,"Image of a little girl in a pink dress and green hat, holding an umbrella. Signed by Wall.","S. Bergman, N.Y.",,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F015_003,http://udspace.udel.edu/handle/19716/24343,University of Delaware. Library.,"""By Gum! Them Suffragettes be gittin everything""",1915-08-20,,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Postcards,image,,,"Postcard written to Miss Mary Crow of Dundee, N.Y.",,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F015_002,http://udspace.udel.edu/handle/19716/24344,University of Delaware. Library.,"""The Suffragette question""",1914-10-22,,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Postcards,image,,,"Postcard with art drawn by F. R. Morgan; addressed to Mrs. O. W. Bugbee of Syracuse, N.Y.  The writer's message includes ""The strikers have been surrounding the shops where 'scabs' are working.  A few more have been arrested.""",,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F022_a,http://udspace.udel.edu/handle/19716/24330,University of Delaware. Library.,"""Votes for Women"" button",1869-1955,undated,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Buttons (information artifacts),physical object,,,,,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F022_b,http://udspace.udel.edu/handle/19716/24331,University of Delaware. Library.,"""Votes for Women"" button",1869-1955,undated,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Buttons (information artifacts),physical object,,,,,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F022_c,http://udspace.udel.edu/handle/19716/24332,University of Delaware. Library.,"""Full Suffrage for Women""",1869-1955,undated,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Buttons (information artifacts),physical object,,,,,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F022_d,http://udspace.udel.edu/handle/19716/24333,University of Delaware. Library.,"""Forward/Denver""",1869-1955,undated,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Buttons (information artifacts),physical object,,,,,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F022_e,http://udspace.udel.edu/handle/19716/24334,University of Delaware. Library.,"""I am a Citizen""",1869-1955,undated,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Buttons (information artifacts),physical object,,,,,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F022_f,http://udspace.udel.edu/handle/19716/24335,University of Delaware. Library.,"""Vote Yes Women Suffrage October 19""",1869-1955,undated,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Buttons (information artifacts),physical object,,,,,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
